,Title,Published_date,Views,likes,Month
79,1 BILLION DIRHAM SETUP TOUR,03-01-2017,12788640,957098,Jan
80,THE END OF SOMETHING BEAUTIFUL,28-12-2016,7618723,565129,Dec
81,INDIAN CHRISTMAS RANT,25-12-2016,4069716,342565,Dec
82,HOMELESS SEXIST GHOST,21-12-2016,8790529,569136,Dec
83,THE MEANING OF LIFE,17-12-2016,2792204,163343,Dec
84,BEST DADDY FOR YOUR DAUGHTER,11-12-2016,7387618,477520,Dec
85,THE CLOSEST HUMAN TO GOD,04-12-2016,17803686,853400,Dec
86,YOUTUBE TRENDING PAGE,30-11-2016,9249874,847446,Nov
87,THE AWESOME PLACE WE CALL SCHOOL,26-11-2016,9146732,669856,Nov
88,THE DARK ADULT SIDE OF YOUTHOOB,23-11-2016,8967060,455255,Nov
89,"""SONAM GUPTA BEWAFA HAI"" PLEASE STOP WORST TREND 2016",17-11-2016,9242650,577078,Nov
90,EVERYBODY WANTS KATRINA CAT,13-11-2016,9376047,594144,Nov
91,BLACK AND WHITE (NEW INDIAN POLICY),09-11-2016,4722159,391588,Nov
92,MUSIC INDUSTRY ON PEAK,08-11-2016,6251451,424901,Nov
93,ADULT NOT SO HORROR MOVIE,05-11-2016,5120906,386540,Nov
94,GOLD DIGGER PRANKS - THE MONEY MAKING MACHINE OF YOUTUBE,28-10-2016,9105873,644041,Oct
95,ANOTHER SHITTY FACECAM VIDEO,22-10-2016,5054843,576995,Oct
96,PPAP Pen Pineapple Apple Pen PLEASE STOP,15-10-2016,8620852,598573,Oct
97,INDIANS FINDING LOVE PARTNER,07-10-2016,9032856,435739,Oct
98,NON VEG JOKES FOR KIDS,30-09-2016,14003214,637574,Sep
99,MICHEAL JACKSON HAS A NEW LIFE,27-09-2016,7965480,415065,Sep
100,MUMMY DADDY PRANK,22-09-2016,10404339,871658,Sep
101,SUPERNATURAL SWAG,18-09-2016,5097519,366314,Sep
102,EMBRACING THE HATE (FACECAM),12-09-2016,22220752,2133952,Sep
103,I DID SOMETHING BAD,11-09-2016,3982959,302918,Sep
104,FIGHTING YOUR OWN SWAG,10-09-2016,13847427,803954,Sep
105,INDIAN WOMEN GETTING HIGH,06-09-2016,1099848,90075,Sep
106,THIS IS NOT A DARING SHOW,30-08-2016,9777669,635744,Aug
107,AESTHETIC SHAKTIMAAN,27-08-2016,6759205,401737,Aug
108,HOW MUCH MONEY DO I MAKE ? QNA (FACECAM),23-08-2016,8178243,638344,Aug
109,LET THE FUN BEGIN,21-08-2016,3700241,237819,Aug
110,THIS IS SEXUALLY WEIRD,15-08-2016,12478984,858987,Aug
111,50 LAYERS OF CHEESE,14-08-2016,4146194,261043,Aug
112,THE RETURN,12-08-2016,6967623,549273,Aug
113,Roast Of NAZAR BATTU,07-08-2016,6105863,432940,Aug
114,GETTING FAMOUS WITH BB KI VINES,03-08-2016,23774939,1513232,Aug
115,PROPOSING MALE AND WOMEN,30-07-2016,5528894,366642,Jul
116,ROASTING ALL INDIA BAKCHOD,29-07-2016,5595586,306016,Jul
117,THIS IS TOO MUCH,25-07-2016,3037177,156024,Jul
118,POHA IS LOVE POHA IS LIFE,21-07-2016,3153987,192066,Jul
119,GOLD DIGGER (GONE VERY VERY SEXY),14-07-2016,7012461,429826,Jul
120,GIRL WITH SWEG,11-07-2016,6935381,431649,Jul
121,THE PERFECT PARTNER,10-07-2016,5758371,276058,Jul
122,INDIANS WITH FAKE ACCENT,07-07-2016,5035147,245091,Jul
123,BEST PAKISTANI SHOW,06-07-2016,19323176,966727,Jul
124,HOT BIKINI SEX,02-07-2016,14030790,402971,Jul
125,69 SUBSCRIBERS SPECIAL QnA,30-06-2016,15711471,1079049,Jun
126,THE ART OF SATISFACTION,29-06-2016,3956874,205257,Jun
127,SASTE NASHE OVERDOSE,26-06-2016,4245312,249244,Jun
128,EVERY INDIAN P.E TEACHERS,24-06-2016,5426353,331279,Jun
129,MAKING MONEY WITH BB KI VINES,21-06-2016,12684667,721627,Jun
130,EVERYTHING WRONG WITH INDIAN SCHOOLS,17-06-2016,11628695,773904,Jun
131,INDIA CENSOR BOARD,15-06-2016,4639274,289066,Jun
132,SEXY BLACK MAGIC (GONE SEXUAL),09-06-2016,3342287,239062,Jun
133,5 INDIAN SUPERSTITIONS THAT MAKE NO SENSE !,06-06-2016,3713358,346781,Jun
134,I VERY VERY LOVE YOU,03-06-2016,13757852,793210,Jun
135,HOW TO SURVIVE IN A JUNGLE,30-05-2016,3302174,197662,May
136,I WANT A GIRL,26-05-2016,12179023,556772,May
137,SPANKING  ASS (GONE RIGHT),20-05-2016,3089615,233048,May
138,KISS ANY GIRL YOU WANT,18-05-2016,6473136,420182,May
139,KIDS ARE BEAUTIFUL,15-05-2016,3724025,238686,May
140,LOUD NOISES,13-05-2016,3147383,222260,May
141,FATHER OF NONE RETURNS,12-05-2016,5915704,347654,May
142,SEXY RICH VIDEO,09-05-2016,11331344,357832,May
143,GUJJAR GOES WILD,08-05-2016,3713930,206216,May
144,WONNA BE HONEY SINGH,06-05-2016,3739430,218102,May
145,ANSWERING YOU,05-05-2016,1884650,121745,May
146,GOOD BAD BOY,03-05-2016,4810350,279866,May
147,HAVE SEX WITH ANYONE,29-04-2016,3124365,196458,Apr
148,CANT LIVE LONG,27-04-2016,1918579,114650,Apr
149,CAN I ASK A QUESTION,25-04-2016,4549607,289099,Apr
150,GUJJAR SWEG RAP,24-04-2016,1870169,105739,Apr
151,BEING OSUM,22-04-2016,2770113,202410,Apr
152,GETTING GIRLFREND DEFINITELY WORKOUTS,13-04-2016,3636129,231313,Apr
153,SAVE HUMANITITIES,11-04-2016,1509181,100110,Apr
154,WONNA BE ANGEL,10-04-2016,3996620,207145,Apr
155,SMELL SWAG IN THIS MUSIC VIDEO,08-04-2016,3191533,226632,Apr
156,NEW GEN RAP RETURN OF GUJJAR BOYS,06-04-2016,6745840,307689,Apr
157,AUNTY FETISH RAP,03-04-2016,6470194,374051,Apr
158,ANSWER ME,01-04-2016,3497059,204181,Apr
159,When Indian Sings English Songs,30-03-2016,1661493,89428,Mar
160,Ear Bleeding Prank in India,28-03-2016,796577,58563,Mar
161,Dobby vs Indian Guy (Gone Bollywood),26-03-2016,1452627,105878,Mar
162,Suxy Punjabi Song (Gone Autotune),24-03-2016,4306537,237774,Mar
163,Lets Make Girls Weird Prank,22-03-2016,1754957,122737,Mar
164,Swaggiest RapStar in Mumbai (Gone Sexual),18-03-2016,1702793,93651,Mar
165,This is A QnA Video,16-03-2016,1088637,87064,Mar
166,WWE Extreme Bakchod Style,14-03-2016,3671866,239225,Mar
167,Make your Eyes Bleed,12-03-2016,1567969,95273,Mar
168,How to Propose a Girl Pro Style.,10-03-2016,1919396,137144,Mar
169,Gujjar Boyz Rap Video ( Gone Rappy ),07-03-2016,4489563,247660,Mar
170,Punjabi Rap Battle ( Gone Bakchod ),03-03-2016,5090036,290457,Mar
171,BakChod E-Spidermaan,29-02-2016,3752738,193337,Feb
172,Pakistani Roadies !,23-02-2016,6598464,299643,Feb
173,India's Weirdest Dance Ever on Youtube !,20-02-2016,1946706,126775,Feb
174,India's Adult Film of The Year !,17-02-2016,11896117,365759,Feb
175,KRK India's Best Film ACTOR/PRODUCER/CRITIC !,14-02-2016,5677278,380752,Feb
176,Indians That Torrent,09-02-2016,2928820,179602,Feb
177,INDIA CS:GO,06-02-2016,3231598,180852,Feb
178,COD GHOST RANT in Hindi,28-06-2015,3381130,215802,Jun
